date,open,high,low,close,volume
2025-10-16,3570.0,3640.0,3015.0,3380.0,31187700
2025-10-17,3500.0,3720.0,3410.0,3430.0,15813900
2025-10-20,3620.0,3725.0,3510.0,3650.0,5429700
2025-10-21,3695.0,3720.0,3510.0,3510.0,3962900
2025-10-22,3495.0,3570.0,3455.0,3520.0,1849300
2025-10-23,3450.0,3555.0,3250.0,3540.0,1897100
2025-10-24,3600.0,3620.0,3490.0,3590.0,1491000
2025-10-27,3610.0,3615.0,3430.0,3450.0,1999600
2025-10-28,3400.0,3420.0,3265.0,3410.0,1757500
2025-10-29,3380.0,3385.0,3270.0,3275.0,1093900
2025-10-30,3250.0,3310.0,3100.0,3100.0,1910900
2025-10-31,3100.0,3530.0,3100.0,3480.0,3251500
2025-11-04,3450.0,3500.0,3350.0,3385.0,938300
2025-11-05,3290.0,3425.0,3270.0,3385.0,1149500
2025-11-06,3410.0,3410.0,3200.0,3225.0,1208700
2025-11-07,3200.0,3270.0,3175.0,3220.0,449200
2025-11-10,3240.0,3255.0,3125.0,3165.0,501500
2025-11-11,3210.0,3295.0,3200.0,3245.0,678000
2025-11-12,3315.0,3420.0,3260.0,3415.0,1163000
2025-11-13,3310.0,3530.0,3255.0,3495.0,1658400
2025-11-14,3305.0,3440.0,3305.0,3320.0,885400
2025-11-17,3320.0,3480.0,3320.0,3435.0,813700
2025-11-18,3405.0,3420.0,3180.0,3200.0,1104100
2025-11-19,3165.0,3225.0,3020.0,3125.0,1116900
2025-11-20,3335.0,3345.0,3095.0,3130.0,1052000
2025-11-21,3000.0,3030.0,2863.0,2906.0,3373300
2025-11-25,3065.0,3065.0,2918.0,2953.0,1973800
2025-11-26,3000.0,3045.0,2963.0,3005.0,946900
2025-11-27,3145.0,3240.0,3140.0,3175.0,7177600
2025-11-28,3135.0,3350.0,3125.0,3350.0,1569300
2025-12-01,3290.0,3295.0,3055.0,3070.0,1408400
2025-12-02,3065.0,3090.0,3020.0,3040.0,631500
2025-12-03,3085.0,3175.0,3080.0,3145.0,639300
2025-12-04,3110.0,3145.0,3050.0,3085.0,539600
2025-12-05,3070.0,3160.0,3070.0,3115.0,430400
2025-12-08,3105.0,3130.0,3065.0,3115.0,281900
2025-12-09,3105.0,3125.0,3040.0,3040.0,377900
2025-12-10,3075.0,3095.0,2997.0,3005.0,565700
2025-12-11,3150.0,3215.0,3085.0,3105.0,1384500
2025-12-12,3210.0,3235.0,3070.0,3105.0,715300
2025-12-15,3070.0,3095.0,3000.0,3040.0,664400
2025-12-16,3010.0,3060.0,2946.0,2949.0,1062800
2025-12-17,3010.0,3040.0,2982.0,3005.0,735200
2025-12-18,2973.0,2978.0,2917.0,2944.0,618500
2025-12-19,2945.0,2967.0,2851.0,2874.0,1219700
2025-12-22,2910.0,3060.0,2910.0,3045.0,1362100
2025-12-23,3030.0,3065.0,2977.0,2990.0,648400
2025-12-24,3000.0,3050.0,2999.0,3035.0,693700
2025-12-25,3030.0,3060.0,3000.0,3025.0,543300
2025-12-26,3025.0,3045.0,2975.0,2975.0,855100
2025-12-29,3025.0,3045.0,2972.0,3015.0,418900
2025-12-30,3005.0,3065.0,2984.0,3030.0,409200
2026-01-05,3100.0,3110.0,3060.0,3080.0,533200
2026-01-06,3110.0,3230.0,3095.0,3155.0,924100
2026-01-07,3160.0,3240.0,3150.0,3185.0,819300
2026-01-08,3180.0,3200.0,3100.0,3100.0,461200
2026-01-09,3105.0,3120.0,3055.0,3095.0,367700
2026-01-13,3150.0,3185.0,3115.0,3115.0,601300
2026-01-14,3120.0,3160.0,3005.0,3030.0,617400
2026-01-15,3005.0,3040.0,2938.0,2988.0,1364900
2026-01-16,3020.0,3070.0,2990.0,2995.0,701100
2026-01-19,2999.0,3050.0,2999.0,3040.0,543900
2026-01-20,3025.0,3040.0,2951.0,2951.0,807900
2026-01-21,2916.0,2990.0,2901.0,2990.0,623700
2026-01-22,2999.0,3130.0,2991.0,3085.0,901500
2026-01-23,3080.0,3090.0,3000.0,3055.0,428100
2026-01-26,3010.0,3030.0,2971.0,3005.0,439100
2026-01-27,3010.0,3025.0,2976.0,3005.0,288000
2026-01-28,3045.0,3085.0,3005.0,3015.0,546700
2026-01-29,3050.0,3050.0,2978.0,2995.0,789200
2026-01-30,2995.0,3015.0,2960.0,3015.0,823000
2026-02-02,2966.0,3000.0,2912.0,2952.0,996400
2026-02-03,2944.0,3010.0,2931.0,2990.0,744000
2026-02-04,2929.0,2930.0,2826.0,2909.0,1300900
2026-02-05,2859.0,2921.0,2859.0,2912.0,583700
2026-02-06,2902.0,2941.0,2870.0,2940.0,559800
2026-02-09,3000.0,3030.0,2980.0,3030.0,874800
2026-02-10,3080.0,3130.0,3065.0,3100.0,750800
2026-02-12,3150.0,3230.0,3130.0,3145.0,1370100
2026-02-13,3190.0,3240.0,3030.0,3155.0,1220400
2026-02-16,3165.0,3165.0,3045.0,3070.0,588200
2026-02-17,3080.0,3135.0,3045.0,3125.0,484600
2026-02-18,3115.0,3130.0,3050.0,3090.0,359000
2026-02-19,3060.0,3085.0,3015.0,3040.0,448200
2026-02-20,3025.0,3030.0,2934.0,2946.0,548600
2026-02-24,2930.0,2962.0,2911.0,2943.0,544500
2026-02-25,2978.0,3010.0,2893.0,2896.0,757500
2026-02-26,2970.0,3400.0,2951.0,3375.0,3994400
2026-02-27,3300.0,3485.0,3265.0,3380.0,4131400
